GIF ID,Web Archive Link,GIPHY Title,Score,
106PwpLIIXJnXi,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106PwpLIIXJnXi/giphy.gif,leaving jerry seinfeld GIF,0.50,
106QGJBeLBA8aA,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106QGJBeLBA8aA/giphy.gif,tired toy story GIF,0.50,
106RHPQrMDUl0Y,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106RHPQrMDUl0Y/giphy.gif,yes GIF,0.50,
106x9VyTVCyJi0,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106x9VyTVCyJi0/giphy.gif,NA,0.50,
106YoETvWnXPj2,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106YoETvWnXPj2/giphy.gif,country GIF,0.50,
107aQ99yMleADu,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/107aQ99yMleADu/giphy.gif,seattle seahawks nfl GIF,0.50,
107EXIGNZq13jy,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/107EXIGNZq13jy/giphy.gif,michael jones rt GIF,0.50,
107hXXJIoajSne,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/107hXXJIoajSne/giphy.gif,downton abbey GIF,0.50,
107j0OZalKtj9K,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/107j0OZalKtj9K/giphy.gif,the host GIF,0.50,
107mw4Nsqioh4A,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/107mw4Nsqioh4A/giphy.gif,goats yoga balls GIF by Cheezburger,0.50,
107nbr93ZhiUJq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/107nbr93ZhiUJq/giphy.gif,cute puppy GIF,0.50,
107R6VQWcEpyjC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/107R6VQWcEpyjC/giphy.gif,jim carrey harry GIF by Dumb and Dumber To,0.50,
107w1QelN7fTcA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/107w1QelN7fTcA/giphy.gif,unique maggie gyllenhaal GIF,0.50,
107wctifgEsaqI,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/107wctifgEsaqI/giphy.gif,Animated GIF,0.50,
1080AfGtovINTq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1080AfGtovINTq/giphy.gif,angry jeremy piven GIF,0.50,
1081l2F7uGjkK4,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1081l2F7uGjkK4/giphy.gif,sorry for being so fabulous GIF,0.50,
1089GpdYOAvZHq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1089GpdYOAvZHq/giphy.gif,regular show deal with it GIF,0.50,
108BpwM4hc2N2M,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108BpwM4hc2N2M/giphy.gif,season 3 louie GIF,0.50,
108dPWYs4MCDp6,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/108dPWYs4MCDp6/giphy.gif,NA,0.50,
108GK9Zd2hA0aA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108GK9Zd2hA0aA/giphy.gif,NA,0.50,
108JHWB1hruZnq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108JHWB1hruZnq/giphy.gif,south park hello STICKER,0.50,
108kQICOZVr0GY,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/108kQICOZVr0GY/giphy.gif,britney spears shut up GIF,0.50,
108M7gCS1JSoO4,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108M7gCS1JSoO4/giphy.gif,valentines day love GIF,0.50,
108NM6sx2vs0Ja,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108NM6sx2vs0Ja/giphy.gif,tired wake up GIF,0.50,
108OKB1XHmqUI8,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108OKB1XHmqUI8/giphy.gif,i love lucy GIF,0.50,
108YFq0ah1UVTq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/108YFq0ah1UVTq/giphy.gif,artists on tumblr squeeze GIF by duajisin,0.50,
1097v2ZAvP3lVC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1097v2ZAvP3lVC/giphy.gif,happy christina aguilera GIF,0.50,
1098j3EXblxjkQ,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1098j3EXblxjkQ/giphy.gif,time run GIF,0.50,
109B3lzNiVqMsU,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109B3lzNiVqMsU/giphy.gif,jay z glitch GIF,0.50,
109CavQjackr84,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109CavQjackr84/giphy.gif,kristen wiig lifetime GIF,0.50,
109CHacRjCtv4Q,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109CHacRjCtv4Q/giphy.gif,alex rodriguez football GIF,0.50,
109IvFzwfQ8bhm,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109IvFzwfQ8bhm/giphy.gif,timelapse sky GIF,0.50,
109k20aCedY9tC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109k20aCedY9tC/giphy.gif,surprised back to the future GIF,0.50,
109KaLDmpB8sM,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109KaLDmpB8sM/giphy.gif,bill murray GIF,0.50,
109qivmw8Q6K52,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109qivmw8Q6K52/giphy.gif,donald duck money GIF,0.50,
109r2fiVDnCuNa,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109r2fiVDnCuNa/giphy.gif,amy adams film GIF,0.50,
109RutRrTGY97a,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109RutRrTGY97a/giphy.gif,finding nemo pixar GIF,0.50,
109rWCjzhQD1sc,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109rWCjzhQD1sc/giphy.gif,Animated GIF,0.50,
